integration,metric_name,metric_type,metric_enabled,metric_description
OracleDB,db.enqueueTimeoutsPerTransaction,Gauge,true,Enqueue Timeouts Per Transaction
OracleDB,db.enqueueWaitsPerSecond,Gauge,true,Enqueue Waits Per Second
OracleDB,db.enqueueWaitsPerTransaction,Gauge,true,Enqueue Waits Per Transaction
OracleDB,db.enqueueDeadlocksPerSecond,Gauge,true,Enqueue Deadlocks Per Second
OracleDB,db.enqueueDeadlocksPerTransaction,Gauge,true,Enqueue Deadlocks Per Transaction
OracleDB,db.enqueueRequestsPerSecond,Gauge,true,Enqueue Requests Per Second
OracleDB,db.enqueueRequestsPerTransaction,Gauge,true,Enqueue Requests Per Transaction
OracleDB,db.blockGetsPerSecond,Gauge,true,DB Block Gets Per Second
OracleDB,db.blockGetsPerTransaction,Gauge,true,DB Block Gets Per Transaction
OracleDB,db.consistentReadGetsPerSecond,Gauge,true,Consistent Read Gets Per Second
OracleDB,db.blockChangesPerSecond,Gauge,true,DB Block Changes Per Second
OracleDB,db.consistentReadGetsPerTransaction,Gauge,true,Consistent Read Gets Per Transaction
OracleDB,db.blockChangesPerTransaction,Gauge,true,DB Block Changes Per Transaction
OracleDB,db.consistentReadChangesPerSecond,Gauge,true,Consistent Read Changes Per Second
OracleDB,db.consistentReadChangesPerTransaction,Gauge,true,Consistent Read Changes Per Transaction
OracleDB,db.cpuUsagePerSecond,Gauge,true,CPU Usage Per Second
OracleDB,db.cpuUsagePerTransaction,Gauge,true,CPU Usage Per Transaction
OracleDB,db.crBlocksCreatedPerSecond,Gauge,true,CR Blocks Created Per Second
OracleDB,db.crBlocksCreatedPerTransaction,Gauge,true,CR Blocks Created Per Transaction
OracleDB,db.crUndoRecordsAppliedPerSecond,Gauge,true,CR Undo Records Applied Per Second
OracleDB,db.crUndoRecordsAppliedPerTransaction,Gauge,true,CR Undo Records Applied Per Transaction
OracleDB,db.userRollbackUndoRecordsAppliedPerSecond,Gauge,true,User Rollback UndoRec Applied Per Second
OracleDB,db.userRollbackUndoRecordsAppliedPerTransaction,Gauge,true,User Rollback Undo Records Applied Per Transaction
OracleDB,db.leafNodeSplitsPerSecond,Gauge,true,Leaf Node Splits Per Second
OracleDB,db.leafNodeSplitsPerTransaction,Gauge,true,Leaf Node Splits Per Transaction
OracleDB,db.branchNodeSplitsPerSecond,Gauge,true,Branch Node Splits Per Second
OracleDB,db.branchNodeSplitsPerTransaction,Gauge,true,Branch Node Splits Per Transaction
OracleDB,disk.physicalReadIoRequestsPerSecond,Gauge,true,Physical Read Total IO Requests Per Second
OracleDB,disk.physicalReadBytesPerSecond,Gauge,true,Physical Read Total Bytes Per Second
OracleDB,db.GcCrBlockRecievedPerSecond,Gauge,true,GC CR Block Received Per Second
OracleDB,db.GcCrBlockRecievedPerTransaction,Gauge,true,GC CR Block Received Per Transaction
OracleDB,db.GcCurrentBlockReceivedPerSecond,Gauge,true,GC Current Block Received Per Second
OracleDB,disk.physicalWriteTotalIoRequestsPerSecond,Gauge,true,Physical Write Total IO Requests Per Second
OracleDB,memory.globalCacheBlocksCorrupted,Gauge,true,Global Cache Blocks Corrupted
OracleDB,memory.globalCacheBlocksLost,Gauge,true,Global Cache Blocks Lost
OracleDB,db.currentLogons,,gv$sysmetric,Gauge,true,Current Logons Count
OracleDB,db.currentOpenCursors,Gauge,true,Current Open Cursors Count
OracleDB,db.userLimitPercentage,Gauge,true,User Limit %
OracleDB,db.sqlServiceResponseTime,Gauge,true,SQL Service Response Time
OracleDB,db.waitTimeRatio,Gauge,true,Database Wait Time Ratio
OracleDB,db.cpuTimeRatio,Gauge,true,Database CPU Time Ratio
OracleDB,db.responseTimePerTransaction,Gauge,true,Response Time Per Transaction,
OracleDB,db.rowCacheHitRatio,Gauge,true,Row Cache Hit Ratio
OracleDB,db.rowCacheMissRatio,Gauge,true,Row Cache Miss Ratio
OracleDB,db.libraryCacheHitRatio,Gauge,true,Library Cache Hit Ratio
OracleDB,db.libraryCacheMissRatio,Gauge,true,Library Cache Miss Ratio
